Name,released,ratings,metacritic,esrb
The Return Home,2016-07-29,0.0,,None
Mars Rover Landing,2012-06-16,2.33,,Everyone
The Bluecoats: North vs South,2012-05-10,0.0,,None
The Campaign Series: Fall Weiss,2014-05-30,0.0,,None
Fatty Bear's Birthday Surprise,2014-10-23,0.0,,None
Steel Invaders,2016-11-23,1.83,,None
Orion: A Sci-Fi Visual Novel,2015-09-28,0.0,,None
Super Stardust Ultra,2015-02-10,4.1,,Everyone 10+
Better Late Than DEAD,2016-03-03,0.0,,None
Cuties,2016-05-29,2.14,,None
Toy Soldiers: Complete,2016-02-17,0.0,,None
12 Labours of Hercules VI: Race for Olympus,2016-12-21,0.0,,None
ARCADE GAME SERIES: Ms. PAC-MAN,2016-04-19,3.64,,None
UFHO2,2015-06-02,0.0,,None
Shadows: Heretic Kingdoms,2014-11-13,3.21,74.0,None
Emily Wants To Play,2015-12-10,3.07,,Teen
Ferrum's Secrets: Where Is Grandpa?,2015-08-14,0.0,,None
Sunset,2015-05-21,3.69,66.0,None
Over The Void,2014-11-11,0.0,,None
Pankapu,2016-09-20,0.0,,None
Bitardia,2015-11-20,3.07,,None
Incandescent,2015-06-30,0.0,,None
Cel Damage HD,2014-04-20,3.62,,None
Affected Zone Tactics,2015-11-17,0.0,,None
Knee Deep,2015-07-06,3.86,,None
Skylanders SWAP Force,2013-10-13,3.41,80.0,Everyone 10+
GooCubelets 2,2015-11-19,0.0,,None
Third Eye Crime,2014-04-24,0.0,,Teen
ABE VR,2016-06-23,0.0,,None
Shin Megami Tensei IV,2013-05-23,4.47,83.0,Mature
Pirates Deck,2015-08-10,0.0,,None
TerraTech,2015-02-06,3.95,,Everyone 10+
Horizon,2013-11-15,0.0,,None
Physic Monster,2016-10-19,0.0,,None
Descent: Road to Legend,2016-06-01,0.0,,None
Battle Ages,2016-04-20,3.28,,Everyone 10+
Adventure Time: The Secret of the Nameless Kingdom,2014-11-18,3.23,,Everyone 10+
Wooden Floor 2 - Resurrection,2016-01-11,0.0,,None
SWORD ART ONLINE: Hollow Realization,2016-11-08,3.71,62.0,Teen
Elliot Quest,2014-11-10,0.0,,Everyone 10+
Hordelicious,2015-07-10,0.0,,None
RaiderZ,2012-11-20,2.67,,None
Shadows of War,2015-01-02,0.0,,None
Sherlock Holmes Consulting Detective: The Case of the Mystified Murderess,2015-06-08,0.0,,None
Mu Cartographer,2016-08-24,3.6,,None
The Elder Scrolls V: Skyrim - Dragonborn,2012-12-04,4.24,82.0,Mature
GooCubelets: The Algoorithm,2016-01-04,0.0,,None
MSI Electric City,2016-08-09,0.0,,None
Dungeon Hunter 5,2015-03-11,2.62,,Teen
KickHim,2016-09-10,1.22,,None
MiniDrivers,2015-08-31,0.0,,Everyone 10+
Senza Peso,2016-10-11,3.62,,None
Awe,2015-10-09,0.0,,None
Blob From Space,2014-10-15,0.0,,None
Metal Dead,2014-10-06,3.14,,None
Dead or Alive 5 Plus,2013-03-19,3.84,,Mature
Stranded,2014-05-20,2.33,,None
X-note,2015-01-16,0.0,,None
Street Legal Racing: Redline v2.3.1,2016-08-05,4.0,,None
Bitweb,2015-06-03,0.0,,None
Statues,2015-10-27,0.0,,None
Azure Striker Gunvolt,2014-08-20,3.83,,None
A Sirius Game,2012-01-18,1.0,,None
Novus Inceptio,2015-10-05,0.0,,None
The Legend of Dark Witch,2014-10-16,0.0,,Everyone 10+
Battle Mages,2014-05-30,3.75,,None
Pixel Hunter,2014-03-05,0.0,,None
Through Abandoned,2015-07-22,3.0,,Everyone 10+
"Warhammer 40,000: Deathwatch - Enhanced Edition",2015-10-16,2.44,74.0,None
Radium,2015-03-13,0.0,,None
Stash,2016-09-27,0.0,,None
Angry Video Game Nerd II: ASSimilation,2016-03-29,4.0,,None
Pikmin 3,2013-07-13,4.38,87.0,Everyone 10+
Experience,2016-04-29,2.33,,None
Toadled,2016-09-22,3.0,,None
Ghost Encounters: Deadwood - Collector's Edition,2013-09-19,0.0,,None
Fantastic Contraption,2016-04-05,3.0,,Everyone 10+
Zeus + Poseidon,2016-12-15,4.39,,None
Caffeine,2015-10-12,0.0,,None
Adventure Time: Finn and Jake Investigations,2015-10-20,3.12,,Everyone 10+
Viktor,2014-06-13,0.0,,None
DRIVECLUB VR,2016-10-13,3.36,,Teen
Smashbox Arena,2016-12-07,2.12,,Everyone 10+
Cube Land Arena,2016-03-29,0.0,,None
Rock Band Blitz,2012-08-28,4.0,,Teen
March of War: FaceOff - M,2015-07-16,2.0,,None
Z.A.R.,2015-05-01,0.0,,None
Wyv and Keep: The Temple of the Lost Idol,2014-08-08,0.0,,None
The Crypts of Anak Shaba - VR,2016-12-20,2.14,,None
Armada 2526 Gold Edition,2013-02-28,0.0,66.0,None
Cloney,2016-01-19,0.0,,None
The Last Leviathan,2016-06-22,0.0,,None
Ironcast,2015-03-26,3.5,75.0,Everyone 10+
VR Regatta - The Sailing Game,2016-05-31,0.0,,None
Elemental Heroes,2016-03-03,0.0,,Teen
Crystal Catacombs,2015-01-15,0.0,,None
Tiltagon,2015-04-09,0.0,,Everyone 10+
Astral Heroes,2016-10-20,0.0,,None
Riddled Corpses,2015-06-02,0.0,,None
Blood II: The Chosen + Expansion,2014-07-14,3.83,72.0,None
The Promised Land,2014-04-25,3.25,,None
After The End: The Harvest,2015-07-10,0.0,,None
Clash of Clans,2012-08-02,3.32,,Everyone 10+
The Cameron Files: The Secret at Loch Ness,2014-07-18,0.0,66.0,None
Grand Ages: Medieval,2015-09-24,3.0,63.0,Teen
Crush Your Enemies,2016-07-13,0.0,63.0,Teen
Imperia Online,2016-04-15,2.12,,None
Cosmic Sugar VR,2016-11-27,3.33,,None
Heart&Slash,2016-06-24,3.25,,None
Onward,2016-08-29,3.67,,None
Cranium Conundrum,2016-09-23,0.0,,None
Fowl Space,2012-03-21,0.0,,None
Legends of Callasia,2016-06-10,0.0,,Everyone 10+
Scott in Space,2015-07-23,0.0,,None
Mining & Tunneling Simulator,2014-03-05,0.0,,None
Approaching Blocks,2016-06-03,0.0,,None
Lion Quest,2016-07-11,0.0,,None
Dungeon Nightmares II: The Memory,2015-09-14,0.0,,Teen
Stranded In Time,2015-07-17,0.0,,None
BoomTown! Deluxe,2016-10-14,0.0,,None
SimpleRockets,2013-08-01,0.0,,Everyone 10+
AMY,2012-01-10,2.62,,Mature
Raiden IV: OverKill,2014-04-15,0.0,,Everyone 10+
OH! RPG!,2015-12-11,2.43,,None
Crown Champion: Legends of the Arena,2016-10-21,1.67,,None
Sherlock Holmes Consulting Detective: The Case of the Mummy's Curse,2015-06-08,0.0,,None
Football Manager 2016,2015-11-13,4.19,81.0,Everyone
Runes of Brennos,2015-10-16,0.0,,None
Space Moth DX,2016-01-22,0.0,,None
bit Dungeon+,2016-03-22,0.0,,None
Uninvited: MacVenture Series,2015-01-26,0.0,,None
Battle Battalions,2015-11-03,0.0,,None
Dark Night,2016-01-11,0.0,,None
Sword Art Online -Hollow Fragment,2014-04-24,2.71,,Teen
Chronicon,2015-07-28,3.58,,None
Trapped Dead: Lockdown,2015-03-20,0.0,,None
RymdResa,2015-08-20,0.0,,None
I Am Vegend - Zombiegeddon,2014-05-22,2.0,,None
The Walking Dead: Survival Instinct,2013-03-19,2.38,35.0,Mature
Hospital Manager,2014-02-28,0.0,,None
Rogue's Tale,2014-03-28,3.29,,None
Crazy Machines: Golden Gears,2014-03-27,0.0,,None
Steno Arcade,2016-03-30,0.0,,None
Guards,2016-08-19,0.0,49.0,None
Megamagic: Wizards of the Neon Age,2016-04-19,0.0,67.0,None
Airport Madness 4,2014-03-06,0.0,,None
Mimic Arena,2016-05-17,0.0,,Everyone 10+
Pirates vs Corsairs: Davy Jones's Gold,2015-03-16,0.0,,None
Lex Mortis,2015-02-09,1.57,,None
Mass Effect 3: Leviathan,2012-08-28,4.17,74.0,Mature
Colosse,2016-04-21,0.0,,None
Dig or Die,2015-03-04,3.36,,None
Pixel Star,2015-05-22,0.0,,None
Planet R-12,2016-05-05,0.0,,None
I must kill...: Fresh Meat,2015-11-30,0.0,,None
Evopollution,2014-04-23,0.0,,None
Hatsune Miku: VR Future Live,2016-10-13,1.95,,Teen
Goliath,2016-05-11,3.09,57.0,None
Winning Putt: Golf Online,2016-10-25,0.0,,None
Highschool Possession,2015-12-09,0.0,,Mature
StuntMANIA Reloaded,2014-11-13,0.0,,None
RC Mini Racers,2015-07-16,0.0,,None
The Elder Scrolls V: Skyrim - Dawnguard,2012-06-26,4.17,73.0,Mature
Out of Reach,2015-06-08,0.0,,None
Dungeon Warfare,2015-11-04,3.91,,Teen
Feel The Snow,2016-10-14,3.48,,None
Cubot,2015-01-08,2.83,,None
FullBlast,2015-08-27,2.59,,Everyone 10+
SHOWTIME 2073,2016-02-12,0.0,,None
Microsoft Flight,2012-02-29,2.93,,None
Oh My Gore!,2016-10-20,0.0,,None
Predator Simulator,2015-05-15,0.0,,None
Astro Lords: Oort Cloud,2016-01-15,0.0,,None
TRISTOY,2015-01-15,0.0,49.0,None
The Body VR: Journey Inside a Cell,2016-10-03,2.5,,None
The Panic Room,2016-04-27,0.0,,None
March of the Living,2016-04-20,0.0,63.0,None
Demon Hunter 2: New Chapter,2016-07-20,0.0,,Teen
Lemma,2015-05-12,3.86,73.0,None
BlastZone 2,2015-02-19,0.0,,None
Cuban Missile Crisis: Ice Crusade,2015-03-25,0.0,,None
Trimmer Tycoon,2016-11-04,0.0,,None
There Was A Caveman,2015-10-08,0.0,,None
Robot Rescue Revolution,2013-12-04,0.0,,Everyone 10+
StarFence: Heroic Edition,2015-04-20,0.0,,None
KALIMBA,2014-12-17,3.89,81.0,Teen
Mystic Saga,2016-01-27,0.0,,None
Fire Emblem Fates: Revelation,2016-03-10,3.85,88.0,None
XBlaze Lost: Memories,2015-04-09,3.25,,Mature
Unium,2015-03-27,0.0,,None
Showing Tonight: Mindhunters Incident,2015-11-12,0.0,,None
Otherland MMO,2016-09-12,0.0,,None
Gravity Cat,2016-07-13,0.0,,None
Zoombinis,2015-10-28,4.14,,Everyone
Monument Builders - Alcatraz,2014-10-24,0.0,,None
Millennium 3 - Cry Wolf,2014-08-29,0.0,,None
Sky Mercenaries,2014-12-16,0.0,,None
Shutter,2015-04-02,0.0,,None
Star Vikings Forever,2016-10-05,0.0,,None
Doom & Destiny,2013-10-11,3.17,,Mature
Laserlife,2015-09-22,0.0,,Everyone
Apartment 666,2016-08-03,0.0,,None
Theatre Of The Absurd,2014-05-08,0.0,,None
Power of Love,2015-07-21,0.0,,None
The Aquatic Adventure of the Last Human,2016-01-18,3.82,76.0,None
Samudai,2015-02-09,0.0,,None
BANZAI PECAN: The Last Hope For the Young Century,2015-01-26,0.0,,Mature
Koala Kids,2015-06-22,0.0,,None
Clans,2014-03-13,0.0,,Everyone 10+
Kill Strain,2016-06-07,2.0,,Teen
Dungeon Defenders Eternity,2014-07-22,3.14,,None
All Zombies Must Die!: Scorepocalypse,2012-04-19,0.0,,None
Putt-Putt and Pep's Dog on a Stick,2014-05-01,0.0,,None
Robin's Island Adventure,2014-09-17,0.0,,None
Screeps,2016-11-16,4.0,,None
Chronicles of a Dark Lord: Episode II War of The Abyss,2015-01-16,0.0,,None
Plants vs. Zombies 2: It's About Time,2013-08-15,3.63,,None
Carnival Games VR,2016-10-27,3.7,,None
Kill Fun Yeah,2014-05-30,0.0,,None
STEINS;GATE: Linear Bounded Phenogram,2013-04-25,3.62,,None
Agarest: Generations of War 2,2015-02-18,0.0,,None
ZombieCarz,2016-12-07,2.0,,None
Starlit Adventures,2015-11-18,2.35,,None
Queen's Quest: Tower of Darkness,2015-09-10,0.0,,None
MANOS,2015-07-30,0.0,,None
Anarcute,2016-07-12,0.0,79.0,Everyone 10+
A Golden Wake,2014-10-08,3.6,68.0,None
Fairy Tale Mysteries: The Puppet Thief,2016-01-07,0.0,,None
Home Behind,2016-06-02,3.27,,None
CastleStorm - Definitive Edition,2014-09-23,2.75,,Teen
The Price of Freedom,2016-12-22,3.29,,None
Glare,2013-10-10,2.38,69.0,None
Kalaban,2016-12-29,0.0,,None
Perfection.,2013-08-28,0.0,,None
Code: Realize ~Guardian of Rebirth~,2014-11-27,2.76,,None
Plastiland,2015-12-01,0.0,,None
SoulCraft,2015-06-01,0.0,,None
LocoCycle,2013-11-22,3.33,,Teen
Ilamentia,2014-11-25,0.0,,None
Streets of Chaos,2015-01-28,0.0,,None
Minds Eyes,2016-08-31,1.5,,None
Cornerstone: The Song of Tyrim,2016-04-25,0.0,58.0,None
A Land Fit For Heroes,2016-05-03,2.0,,Mature
Meridian: Squad 22,2016-06-02,0.0,,None
One Piece: Pirate Warriors,2012-03-01,3.43,,Teen
Strategy & Tactics: Dark Ages,2016-12-12,0.0,,None
Trench Run,2016-04-07,0.0,,None
Drive to Hell,2014-05-29,0.0,,Everyone 10+
Siralim,2015-04-24,0.0,,Everyone 10+
Putt-Putt and Pep's Balloon-o-Rama,2014-04-17,0.0,,None
Mini Thief,2016-06-13,0.0,,None
Survival: Postapocalypse Now,2015-04-16,2.3,,None
Attack on Titan / A.O.T. Wings of Freedom,2016-08-26,3.86,,Adults Only
Aces of the Luftwaffe,2013-02-14,0.0,,Everyone 10+
Kick-Ass 2,2013-11-26,0.0,,None
Football Club Simulator - FCS,2016-03-04,0.0,,None
Explosionade,2015-09-23,2.0,,None
CAFE 0 ~The Drowned Mermaid~,2012-09-27,0.0,,Teen
The Defenders: The Second Wave,2015-03-30,0.0,,None
Claustrophobia: The Downward Struggle,2014-09-09,0.0,,None
Cockroach Simulator,2016-09-16,2.15,,None
Call Of The Mighty Warriors,2016-06-02,0.0,,None
Solitairica,2016-05-31,3.5,,None
Just Get Through,2015-01-30,0.0,,None
Omega Quintet,2014-10-02,2.86,,Teen
Tony Hawk's Pro Skater 5,2015-09-29,2.57,,Teen
Hatsune Miku: Project DIVA f,2012-08-30,4.17,,Teen
Mario & Luigi: Dream Team,2013-07-12,4.09,81.0,Everyone 10+
Don't open the doors!,2016-11-11,3.44,68.0,None
StarDrive 2,2015-04-09,3.25,70.0,None
Cobalt,2016-02-02,3.27,69.0,Everyone 10+
ENYO Arcade,2015-11-09,0.0,,None
Rememoried,2015-08-31,0.0,,None
ASTRONEER (Game Preview),2016-12-16,3.18,,Everyone 10+
Chuck's Challenge 3D,2013-11-08,0.0,,Everyone 10+
Squirreltopia,2015-01-12,0.0,,None
TransPlan,2015-06-08,0.0,,None
Mad Hunter,2016-11-28,1.86,,Adults Only
XBlaze Code: Embryo,2013-07-25,0.0,,Mature
Grey Phobia,2016-08-22,0.0,,None
Near Death,2016-08-02,3.33,70.0,None
OmniBus,2016-05-26,0.0,55.0,None
Labyrinth Legends,2012-12-16,2.33,,Teen
Raiden Legacy,2012-12-04,3.0,,None
Battle Riders,2014-09-04,0.0,,None
Balrum,2016-02-29,2.75,,None
ShootMania Storm,2013-04-10,3.46,76.0,None
Asteria,2014-07-03,0.0,,None
VOI,2016-06-15,3.1,,None
Hatsune Miku: Project DIVA X,2016-03-24,4.0,,Teen
A City Sleeps,2014-10-16,0.0,,None
Pale Echoes,2015-12-10,0.0,,None
Legends of Dawn Reborn,2015-10-20,0.0,,None
Spooky Cats,2015-06-04,0.0,,None
Kingdom Hearts: Dream Drop Distance,2012-03-29,3.67,75.0,Everyone 10+
Slash or Die,2016-06-03,3.33,,None
RIDE,2015-03-27,3.23,68.0,Everyone
Cally's Trials,2016-06-14,0.0,,None
Evo Explores,2016-04-07,3.0,,Everyone 10+
QbQbQb,2014-10-29,0.0,,Everyone
Stay Dead Evolution,2015-02-04,0.0,,None
The Secret Order 3: Ancient Times,2016-03-10,3.0,,None
NO THING,2016-04-07,3.09,,Everyone
A Magical High School Girl / 魔法の女子高生,2016-11-22,0.0,,None
Windlands,2016-04-05,3.58,,Teen
Where Angels Cry,2013-07-22,0.0,,Everyone 10+
Distant Worlds: Universe,2014-05-22,4.29,81.0,None
Eventide 2: The Sorcerers Mirror,2016-10-12,0.0,,None
Kingdom Elemental,2014-05-02,0.0,,None
Pretentious Game,2013-12-05,0.0,,Everyone 10+
Choice of Robots,2014-12-18,3.93,,None
Metal Gear Solid: The Legacy Collection,2013-07-09,4.44,,Mature
Soccer Manager,2016-02-09,0.0,,None
Alien Hostage,2016-11-30,0.0,,None
Pocket Kingdom,2016-12-08,0.0,,None
PaRappa The Rapper 2,2015-12-15,3.87,,Everyone 10+
Adventurezator: When Pigs Fly,2015-09-17,0.0,,None
The Floor is Jelly,2014-05-30,4.23,83.0,None
Putt-Putt and Fatty Bear's Activity Pack,2014-05-15,0.0,,None
Vinyl,2016-07-01,0.0,,None
Downward,2016-12-19,2.88,77.0,None
Vlad the Impaler,2014-07-16,3.22,,None
Hypt,2015-04-23,0.0,,None
Rad Rodgers: World One,2016-11-30,3.44,72.0,None
Masquerade: The Baubles of Doom,2016-04-19,0.0,,Teen
Tales from the Void,2016-05-20,0.0,,None
EARTH'S DAWN,2015-09-18,0.0,,Teen
Crea,2016-06-09,3.11,,None
Clandestine,2015-11-05,3.62,69.0,None
Brick Rigs,2016-11-07,3.94,,None
Karmaflow: The Rock Opera Videogame - Act I & Act II,2015-05-06,2.83,47.0,None
Force of Nature,2016-12-13,2.29,,None
Majestic Nights,2014-10-30,0.0,32.0,None
Leo's Fortune,2014-04-23,3.97,,None
The Land of Eyas,2016-07-21,0.0,,None
Kirby: Triple Deluxe,2014-01-11,4.08,80.0,Everyone
Act of Aggression - Reboot Edition,2015-09-02,3.22,71.0,None
Campaign Clicker,2016-05-12,1.83,,Everyone 10+
Bitardia Cards: Memes of 2ch,2016-05-19,2.5,,None
Warlocks vs Shadows,2015-08-19,0.0,68.0,Everyone 10+
Rock Paper Scissors Champion,2016-03-02,0.0,,None
Insanity's Blade,2014-09-01,0.0,,None
Fable Heroes,2012-05-02,3.09,,Everyone 10+
A-Gents,2016-04-20,0.0,,None
Replay - VHS is not dead,2015-07-09,0.0,,None
Origin Of Destiny,2016-04-01,0.0,,None
Super Dungeon Bros,2016-11-01,2.78,,None
Crispy Chicken,2016-11-04,0.0,,None
Deep Under the Sky,2014-08-20,0.0,,None
Skyreach,2016-04-29,0.0,,None
Dragon Ball Z: Battle of Z,2014-01-23,2.56,,Teen
Twisted Worlds,2016-06-17,0.0,,None
Heroes of Hellas 3: Athens,2015-03-12,0.0,,Everyone
SimCity (2013),2013-03-05,3.64,64.0,Everyone 10+
Bezier,2016-03-03,0.0,,None
Survivor Squad: Gauntlets,2015-11-16,2.33,,None
Legionwood 1: Tale of the Two Swords,2016-05-10,0.0,,None
Knight Adventure,2015-10-15,0.0,,None
Acceleration of SUGURI X-Edition HD,2014-07-01,0.0,,None
Gone Home: Console Edition,2016-01-12,3.68,,Mature
The Legend of Tango,2015-09-11,0.0,,None
ROOT (2015),2015-11-16,0.0,,None
A Space for The Unbound - Prologue (itch),2015-04-05,0.0,,None
Demetrios - The BIG Cynical Adventure,2016-05-23,3.25,72.0,Teen
MiniBikers,2015-11-05,0.0,,None
Evolution,2016-06-06,0.0,,None
Poker Pretty Girls Battle: Texas Hold'em,2015-10-21,0.0,,None
Spellstone,2015-09-16,0.0,,Everyone 10+
Tomb of Tyrants,2015-06-25,0.0,,None
Mythic Wonders: The Philosopher's Stone,2016-04-20,2.88,,None
Take the Dream IX,2016-04-01,0.0,,None
Prospekt,2016-02-18,2.8,43.0,None
Evochron Mercenary,2012-01-16,3.0,70.0,None
Aozora Meikyuu,2016-01-27,0.0,,Adults Only
Red Johnson's Chronicles - 1+2,2014-09-05,0.0,,None
Sherlock Holmes Consulting Detective: The Case of the Tin Soldier,2015-06-08,0.0,,None
Cyto,2014-07-10,0.0,,None
軒轅劍外傳穹之扉(The Gate of Firmament),2016-02-25,0.0,,None
Echo Tokyo: An Intro,2016-01-27,0.0,,Mature
Abyss Raiders: Uncharted,2015-04-30,0.0,,None
Six Sides of the World,2016-01-20,0.0,,None
Freddi Fish and Luther's Maze Madness,2013-09-02,0.0,,None
Secret Files 3,2012-09-13,3.67,67.0,None
The House of the Dead 4 Game,2012-04-17,3.4,,Mature
Adventures of Pip,2015-06-04,3.11,72.0,None
Totem,2016-08-30,0.0,,None
Recovery Search & Rescue Simulation,2013-11-01,0.0,,None
PSYCHO-PASS: Mandatory Happiness,2016-03-24,2.53,,None
World War 2: Time of Wrath,2014-06-06,0.0,,None
Cat Goes Fishing,2015-01-19,3.41,,None
The Growth Journey,2016-01-07,0.0,,None
The Black Death,2016-04-19,2.29,,None
INVASION!,2016-10-12,2.67,,None
GIBZ,2016-05-20,3.0,,None
Lost Dimension,2014-08-07,3.72,,Teen
Once in Yaissor,2016-11-09,2.36,,None
Overhell,2016-05-28,0.0,,None
Smugglers 5,2014-04-11,0.0,,None
Heartomics,2016-03-24,0.0,,None
50 years,2016-08-23,2.62,,None
Heileen 3: New Horizons,2014-07-17,0.0,,None
Galagan's Island: Reprymian Rising,2015-06-16,0.0,,None
Milford Heaven - Luken's Chronicles,2016-06-10,0.0,,None
Pharaonic,2016-04-27,2.64,,Mature
Rack N Ruin,2015-03-31,0.0,,None
Soldier Front 2,2013-07-03,0.0,,None
Asemblance,2016-06-21,3.41,,None
Gunhouse,2016-11-19,2.47,,Everyone 10+
Tiny Guardians,2015-04-16,0.0,,None
ISLANDS: Non-Places,2016-11-17,3.5,,None
Euclidean,2015-09-25,0.0,62.0,None
Krai Mira,2016-07-11,0.0,50.0,None
Pajama Sam's Lost & Found,2014-06-06,0.0,,None
Asphyxia,2015-08-04,3.38,,None
The Cat! Porfirio's Adventure,2016-08-04,0.0,,None
Stop Online - Battle of Words,2016-01-15,0.0,,None
The Land Of Lamia,2015-11-23,0.0,,None
Woodle Tree 2: Worlds,2016-09-16,0.0,,None
GemBreak,2016-06-14,0.0,,None
Zenohell,2015-10-14,0.0,,None
Zenodyne R,2016-05-29,0.0,,None
An Imp? A Fiend!,2015-03-16,0.0,,None
24 Hours 'til Rescue,2016-02-19,0.0,,None
Kings of Kung Fu,2015-06-25,0.0,,None
Our Love Will Grow,2015-12-04,0.0,,None
Sorcery! Part 4,2016-09-22,3.8,,None
Clash of the Monsters,2016-04-13,0.0,,None
Pajama Sam's Sock Works,2014-06-06,0.0,,None
Tenrow,2016-04-08,0.0,,None
PRO EVOLUTION SOCCER 2017 TRIAL EDITION,2016-11-23,0.0,,None
Runeous: Part One,2016-05-31,0.0,,None
Heartomics 2,2016-03-25,0.0,,None
ALLTYNEX Second,2014-12-11,0.0,,None
Vrideo,2016-04-12,0.0,,None
Age of Magic CCG,2016-03-20,0.0,,None
Let's Explore the Farm (Junior Field Trips),2015-04-24,0.0,,None
Battle Mages: Sign of Darkness,2014-07-24,4.0,,None
Pineapple Smash Crew,2012-02-02,0.0,62.0,None
Gunslugs,2013-01-16,2.0,,Everyone 10+
Funk of Titans,2015-01-09,0.0,,Teen
The Herbalist,2016-11-15,3.54,,None
Three Days,2016-05-11,0.0,,None
Zombie Party,2016-06-10,0.0,,None
Full Tilt Poker,2016-01-26,0.0,,Adults Only
Clover Tale,2014-09-23,0.0,,None
Vanishing Realms,2016-04-05,0.0,,None
VR Gallery,2016-08-11,0.0,,None
HyperRogue,2015-01-16,3.88,,Teen
Nicolas Eymerich The Inquisitor Book II: The Village,2015-01-22,0.0,,None
NINJA GAIDEN 3: RE,2013-04-02,3.43,,Mature
Riding Club Championships,2016-09-27,0.0,,None
The Last Dream: Developer's Edition,2015-12-03,2.5,,None
Dark Train,2016-10-25,0.0,79.0,None
Shoot 1UP,2015-09-23,2.5,,None
Clickteam Fusion 2.5 Free Edition,2016-06-16,0.0,,None
Defenders of the Last Colony,2016-06-23,0.0,,None
Forest Warrior,2015-06-25,0.0,,None
Rogue Wizards,2016-09-26,0.0,67.0,None
Proxy Blade Zero,2014-07-28,2.86,,None
Omerta: City of Gangsters (4 DLCs included),2013-01-30,2.83,,Mature
Crow,2012-04-12,0.0,,Teen
Wake Up,2016-08-09,0.0,,None
Poly Runner VR,2016-04-18,0.0,,None
The Mims Beginning,2016-05-18,0.0,,Everyone 10+
Inescapable,2013-10-22,0.0,,None
Amnesia: Collection,2016-11-22,3.31,,None
Strategy & Tactics: Wargame Collection,2016-04-22,0.0,,None
Homebrew - Vehicle Sandbox,2014-11-14,0.0,,None
Gemini Wars,2012-06-08,0.0,53.0,None
Monument,2015-06-05,0.0,,None
Guise Of The Wolf,2014-01-24,0.0,,None
Cloud Chamber,2014-08-07,0.0,74.0,None
Acan's Call: Act 1,2016-08-11,0.0,,None
Arcane Sorcery,2015-09-15,0.0,,None
Kromaia,2014-10-22,0.0,68.0,None
The Oil Blue: Steam Legacy Edition,2015-08-06,0.0,,None
Magical Battle Festa,2014-11-21,3.0,,None
Blood Code,2015-12-28,0.0,,None
Not without my donuts,2015-04-28,0.0,,None
Runner2,2015-06-18,3.14,,None
Sorcery,2012-05-22,3.62,,Everyone 10+
Lazerbait,2016-10-13,0.0,,None
KAMUI,2014-12-11,0.0,,None
Yoshi's Woolly World,2015-10-16,4.18,,None
Engage,2016-03-15,0.0,,None
Project Explore,2015-03-20,0.0,,None
Bunny Must Die! Chelsea and the 7 Devils,2012-10-02,0.0,,None
Astro Emporia,2015-02-02,0.0,,None
Crowman & Wolfboy,2013-10-18,0.0,,Everyone 10+
Gnomes Garden,2015-12-18,0.0,,None
Pixel Space,2015-07-27,0.0,,None
Galaxy Control: 3D Strategy,2016-08-10,0.0,,None
The Collider,2014-09-15,3.0,,None
Roommates,2014-10-15,0.0,,None
Disney•Pixar Toy Story Mania!,2014-10-06,2.33,,None
Warhammer: Vermintide VR - Hero Trials,2016-12-20,0.0,,None
Signs of Life,2014-01-27,0.0,,None
Techwars Online,2016-03-17,0.0,,None
Paper Monsters Recut,2014-10-16,0.0,,Everyone 10+
Dynamic,2016-11-11,0.0,,None
Jackpot Poker by PokerStars,2014-12-10,0.0,,Teen
Fabula Mortis,2014-10-27,0.0,,None
Space Distant,2016-12-20,2.14,,None
Homesick,2015-05-28,2.4,72.0,None
Pure Chess,2012-04-11,3.78,,Everyone 10+
One More Line,2014-11-20,0.0,,Everyone 10+
Professor Layton vs. Phoenix Wright: Ace Attorney,2012-11-29,4.02,,None
Waddle Home,2016-07-07,0.0,,Everyone 10+
Let's Explore the Airport (Junior Field Trips),2015-04-24,0.0,,None
Shadow Ninja: Apocalypse,2015-11-16,0.0,,None
Rexodus: A VR Story Experience,2016-06-08,0.0,,None
Shrouded in Sanity,2016-05-27,3.69,,None
Anyland,2016-10-06,0.0,,None
The Deletion,2015-07-30,0.0,,None
Eleven: Table Tennis VR,2016-09-22,4.0,,None
Syndrome,2016-10-06,0.0,56.0,Mature
Red Goblin: Cursed Forest,2015-05-15,0.0,,None
Mahluk:Dark demon,2016-07-19,0.0,,None
Dominique Pamplemousse,2014-03-11,2.67,62.0,None
Ringies,2015-09-10,0.0,,None
Pixel Fodder,2015-07-20,0.0,,None
FIVE: Guardians of David,2015-11-24,0.0,66.0,None
[the Sequence],2015-09-25,0.0,,None
Mass Effect 3: Omega,2012-11-27,3.97,60.0,Mature
Alice's Patchwork,2016-03-03,0.0,,None
The Flock,2015-08-21,0.0,36.0,None
Spelunker World,2015-11-11,2.88,,Everyone 10+
Jagged Alliance Flashback,2014-10-21,2.43,,None
RunGunJumpGun,2016-08-31,2.83,82.0,Everyone 10+
Tesla Breaks the World!,2014-09-26,0.0,,None
Envoy 2,2016-06-16,0.0,,None
Wanda - A Beautiful Apocalypse,2016-05-20,0.0,,None
The Divergent Series: Allegiant VR,2016-03-17,0.0,,None
PresenZ,2016-04-28,0.0,,None
123 Slaughter Me Street,2015-09-25,0.0,,None
The Magical Silence,2016-06-10,0.0,,None
Ancient Space,2014-09-23,0.0,,None
Apollo4x,2015-05-05,0.0,,None
